,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
72,3/14/19,57476,86864,300904,1826,82
73,3/15/19,57517,95073,300987,2843,119
74,3/16/19,42144,74307,301086,3369,97
75,3/17/19,36826,64440,301187,2755,73
76,3/18/19,46535,68775,301278,1361,54
77,3/19/19,52997,78320,301381,1602,49
78,3/20/19,55396,83442,301476,1723,58
79,3/21/19,21248,27005,301520,342,14
80,3/22/19,35477,49691,301579,1076,51
81,3/23/19,37379,61407,301671,2693,74
82,3/24/19,50318,100843,301827,5896,79
83,3/25/19,53463,79824,301952,1562,64
84,3/26/19,55421,81425,302083,1715,49
85,3/27/19,54483,78975,302176,1583,56
86,3/28/19,58538,87465,302430,1966,87
87,3/29/19,59324,91975,302587,2573,103
88,3/30/19,66672,144759,302941,9151,135
89,3/31/19,32768,52486,303060,1916,52
0,4/1/19,51399,75072,303223,1466,76
1,4/2/19,57903,83399,303386,1483,73
2,4/3/19,67924,108780,303552,3013,79
3,4/4/19,66403,104268,303699,2633,87
4,4/5/19,34470,46930,303766,812,46
5,4/6/19,66532,143054,303958,8852,139
6,4/7/19,64713,138291,304216,8191,87
7,4/8/19,70514,123304,304525,3804,89
8,4/9/19,59336,86248,304677,1684,79
9,4/10/19,70988,112985,304865,2845,116
10,4/11/19,62430,93232,305003,2222,93
11,4/12/19,58010,92517,305134,2811,118
12,4/13/19,71500,159264,305362,10443,128
13,4/14/19,58474,123470,305584,7263,119
14,4/15/19,45663,71673,305722,1816,75
15,4/16/19,63323,106799,305906,3197,134
16,4/17/19,65249,109668,306077,3276,89
17,4/18/19,61568,98909,306205,2845,104
18,4/19/19,64939,120796,306365,5782,271
19,4/20/19,36785,68489,306453,4049,115
20,4/21/19,51869,114490,306647,7439,140
21,4/22/19,44112,71869,306827,3426,69
22,4/23/19,75443,143334,307082,5928,202
23,4/24/19,77736,144473,307320,5868,135
24,4/25/19,60834,101124,307484,3569,114
25,4/26/19,37121,55000,307578,1387,76
26,4/27/19,56442,111440,307737,7022,151
27,4/28/19,41204,68976,307862,3338,87
28,4/29/19,60801,98707,308020,2829,104
29,4/30/19,62668,99225,308192,2715,94
30,5/1/19,60904,93434,308383,2285,106
31,5/2/19,68714,115573,308575,3763,171
32,5/3/19,62410,100885,308738,3452,151
33,5/4/19,56025,114113,308919,7286,110
34,5/5/19,16169,25232,308988,802,16
35,5/6/19,69920,121887,309187,4178,166
36,5/7/19,72829,126637,309356,4055,124
37,5/8/19,76398,130821,309530,4255,131
38,5/9/19,66689,105721,309646,2851,130
39,5/10/19,68044,114830,309790,4427,163
40,5/11/19,69788,153674,310021,10581,133
41,5/12/19,10730,15759,310063,475,9
42,5/13/19,22300,29434,310141,553,19
43,5/14/19,42783,61756,310248,1301,73
44,5/15/19,74314,129217,310395,4484,140
45,5/16/19,77889,139278,310590,5354,174
46,5/17/19,72118,126992,310760,5124,167
47,5/18/19,73143,162302,310992,11292,227
48,5/19/19,69920,154638,311245,10321,193
49,5/20/19,74494,133696,311495,5225,173
50,5/21/19,79261,139284,311686,5088,160
51,5/22/19,82021,144186,311888,5431,153
52,5/23/19,56578,93244,312082,3527,121
53,5/24/19,74866,141169,312276,7322,245
54,5/25/19,59492,136772,312484,10682,279
55,5/26/19,49950,118192,312648,9325,145
56,5/27/19,66595,160750,312896,12124,136
57,5/28/19,59435,97330,313092,2992,96
58,5/29/19,55098,87647,313251,2952,111
59,5/30/19,52484,84325,313402,2831,129
60,5/31/19,83347,156832,313606,7586,261
61,6/1/19,76416,164956,313815,12153,214
62,6/2/19,67288,147247,314051,10419,144
63,6/3/19,77678,141960,314327,6027,152
64,6/4/19,83301,150076,314642,6422,168
65,6/5/19,78791,134998,314889,5166,143
66,6/6/19,81323,143619,315121,6138,183
67,6/7/19,82908,150312,315337,7530,256
68,6/8/19,78074,175352,315583,13831,206
69,6/9/19,73954,167597,315861,12833,121
70,6/10/19,37019,54769,316007,1566,44
